,model,feats,body_part,interp,emotion,shuffle,fold,epoch,p,p_std,r,r_std,f,f_std,acc,acc_std
1545,rand,no-input,,False,surprise,False,6,0,0.20853080568720378,,0.13253012048192772,,0.1620626151012891,,[0.67406877],
1546,rand,no-input,,False,surprise,False,7,0,0.0398406374501992,,0.23076923076923078,,0.06795016987542468,,[0.7948654],
1547,rand,no-input,,False,surprise,False,average,0,0.16783494259153772,0.14522976898843165,0.1343874446009219,0.06067393801143649,0.12085811996348074,0.060485331879098804,0.714355246080547,0.08925221709935316
1548,JointBiLSTM,deltas-noatt,full,True,happiness,False,0,77,0.525691699604743,,0.35945945945945945,,0.4269662921348314,,[0.66635514],
1549,JointBiLSTM,deltas-noatt,full,True,happiness,False,1,77,0.031210191082802548,,0.7,,0.05975609756097561,,[0.36043136],
1550,JointBiLSTM,deltas-noatt,full,True,happiness,False,2,77,0.42950819672131146,,0.23861566484517305,,0.30679156908665106,,[0.54215004],
1551,JointBiLSTM,deltas-noatt,full,True,happiness,False,3,77,0.660148975791434,,0.47015915119363394,,0.5491866769945778,,[0.68993074],
1552,JointBiLSTM,deltas-noatt,full,True,happiness,False,4,77,0.1072,,0.08481012658227848,,0.09469964664310954,,[0.68401579],
1553,JointBiLSTM,deltas-noatt,full,True,happiness,False,5,77,0.43397260273972604,,0.36957536164255717,,0.3991935483870968,,[0.59219979],
1554,JointBiLSTM,deltas-noatt,full,True,happiness,False,6,77,0.6834061135371179,,0.4523121387283237,,0.5443478260869565,,[0.62464183],
1555,JointBiLSTM,deltas-noatt,full,True,happiness,False,7,77,0.07653061224489796,,0.32786885245901637,,0.12409513960703207,,[0.5777667],
1556,JointBiLSTM,deltas-noatt,full,True,happiness,False,average,77,0.3684585489652541,0.24602619079697466,0.3753500943638053,0.16806233218737643,0.31312959956265385,0.18615671538915504,0.5921864238754477,0.10060002191896153
1557,JointBiLSTM,deltas-noatt,full-hh,True,happiness,False,0,77,0.31392174704276615,,0.3108108108108108,,0.3123585332729742,,[0.52679128],
1558,JointBiLSTM,deltas-noatt,full-hh,True,happiness,False,1,77,0.03564923237054385,,0.9785714285714285,,0.06879236756213909,,[0.23081709],
1559,JointBiLSTM,deltas-noatt,full-hh,True,happiness,False,2,77,0.19324577861163228,,0.09380692167577413,,0.12630288166768852,,[0.44895592],
1560,JointBiLSTM,deltas-noatt,full-hh,True,happiness,False,3,77,0.0,,0.0,,0.0,,[0.59829515],
1561,JointBiLSTM,deltas-noatt,full-hh,True,happiness,False,4,77,0.06564885496183206,,0.10886075949367088,,0.08190476190476191,,[0.52442033],
1562,JointBiLSTM,deltas-noatt,full-hh,True,happiness,False,5,77,0.250561797752809,,0.10405972935137657,,0.1470491262776129,,[0.5574752],
1563,JointBiLSTM,deltas-noatt,full-hh,True,happiness,False,6,77,0.0,,0.0,,0.0,,[0.50429799],
1564,JointBiLSTM,deltas-noatt,full-hh,True,happiness,False,7,77,0.0,,0.0,,0.0,,[0.90777667],
1565,JointBiLSTM,deltas-noatt,full-hh,True,happiness,False,average,77,0.10737842634244793,0.11832774246076161,0.19951370623788262,0.309685017377233,0.09205095883564708,0.09924556944896801,0.537353702561803,0.17481500612237494
1566,JointBiLSTM,deltas-noatt,hands,True,happiness,False,0,77,0.7111111111111111,,0.02882882882882883,,0.055411255411255404,,[0.66012461],
1567,JointBiLSTM,deltas-noatt,hands,True,happiness,False,1,77,0.0,,0.0,,0.0,,[0.9709664],
1568,JointBiLSTM,deltas-noatt,hands,True,happiness,False,2,77,0.07867132867132867,,0.040983606557377046,,0.05389221556886228,,[0.38901779],
1569,JointBiLSTM,deltas-noatt,hands,True,happiness,False,3,77,0.0,,0.0,,0.0,,[0.59829515],
1570,JointBiLSTM,deltas-noatt,hands,True,happiness,False,4,77,0.12286158631415241,,0.1,,0.11025819958129797,,[0.68549581],
1571,JointBiLSTM,deltas-noatt,hands,True,happiness,False,5,77,0.0,,0.0,,0.0,,[0.63342456],
1572,JointBiLSTM,deltas-noatt,hands,True,happiness,False,6,77,0.0,,0.0,,0.0,,[0.50429799],
1573,JointBiLSTM,deltas-noatt,hands,True,happiness,False,7,77,0.0,,0.0,,0.0,,[0.90877368],
