,model,feats,body_part,interp,emotion,fold,epoch,p,p_std,r,r_std,f,f_std,acc,acc_std
482,JointBiLSTM,brute,full-hh,True,happiness,5,33,0.7614035087719299,,0.5062995800279981,,0.6081838565022423,,[0.76086213],
483,JointBiLSTM,brute,full-hh,True,happiness,6,33,0.6296296296296297,,0.17196531791907516,,0.2701475595913735,,[0.53939828],
484,JointBiLSTM,brute,full-hh,True,happiness,7,33,0.21215880893300249,,0.4672131147540984,,0.29180887372013653,,[0.79312064],
485,JointBiLSTM,brute,full-hh,True,happiness,average,33,0.3942698227370019,0.27678927197593006,0.30386296542321695,0.17333455061431202,0.2950522786515973,0.20421767670230564,0.6230279864270023,0.13300159681019283
486,JointBiLSTM,brute,full-hh,True,sadness,0,17,0.0,,0.0,,0.0,,[0.74174455],
487,JointBiLSTM,brute,full-hh,True,sadness,1,17,0.5271565495207667,,0.08100147275405008,,0.14042553191489363,,[0.58108669],
488,JointBiLSTM,brute,full-hh,True,sadness,2,17,0.0,,0.0,,0.0,,[0.85228152],
489,JointBiLSTM,brute,full-hh,True,sadness,3,17,0.41818181818181815,,0.23499361430395913,,0.3008994276369583,,[0.77224294],
490,JointBiLSTM,brute,full-hh,True,sadness,4,17,0.8075916230366492,,0.27349290780141844,,0.40860927152317883,,[0.55944746],
491,JointBiLSTM,brute,full-hh,True,sadness,5,17,0.34609250398724084,,0.09305317324185249,,0.14667117269347754,,[0.56808074],
492,JointBiLSTM,brute,full-hh,True,sadness,6,17,0.0,,0.0,,0.0,,[0.85673352],
493,JointBiLSTM,brute,full-hh,True,sadness,7,17,0.0,,0.0,,0.0,,[0.51196411],
494,JointBiLSTM,brute,full-hh,True,sadness,average,17,0.2623778118408093,0.29026224834291015,0.08531764601266001,0.10428787995908484,0.12457567547106353,0.1477248176032208,0.6804476901656531,0.1314885670680703
495,JointBiLSTM,brute,hands,True,sadness,0,17,0.07142857142857142,,0.007142857142857143,,0.012987012987012986,,[0.76323988],
496,JointBiLSTM,brute,hands,True,sadness,1,17,0.9794721407624634,,0.163966617574865,,0.2809083263246425,,[0.64537536],
497,JointBiLSTM,brute,hands,True,sadness,2,17,0.0,,0.0,,0.0,,[0.8383604],
498,JointBiLSTM,brute,hands,True,sadness,3,17,0.5298013245033113,,0.3065134099616858,,0.3883495145631068,,[0.79861481],
499,JointBiLSTM,brute,hands,True,sadness,4,17,0.6629213483146067,,0.10460992907801418,,0.18070444104134764,,[0.4721263],
500,JointBiLSTM,brute,hands,True,sadness,5,17,0.8573170731707317,,0.3014579759862779,,0.4460659898477158,,[0.70133425],
